Destination,Budget,Company,No. of Days,Range,Season,Mode of Transport,Type of Vacation,No. of Members
Puri            ,40000, Friends          ,4, State , Winter , Road               , Relaxation       ,3
Thanjavur          ,70000,Friends      ,6, State   ,Any   ,Road       ,Cultural             ,4
Kanyakumari        ,45000,Family       ,6, State      ,Any          , Road               , Adventure       ,3
Kabini          ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,3
Hampi           ,25000, Friends          ,4, State , Winter , Road               , Relaxation       ,5
Rameshwaram     ,40000,Family       ,4, State    ,Winter   ,Train               ,Religious         ,3
Haridwar        ,30000, Family           ,3, State , Any    , Road               , Informational    ,5
Shillong        ,50000, Friends          ,5, State , Monsoon, Road              , Adventure        ,5
Ooty               ,60000,Family       ,5, State   ,Any         ,Train,Cultural                ,4
Tawang           ,55000,Family       ,6, State        ,Any         ,Train,Relaxation          ,4
Mount Abu       ,45000, Family           ,4, State , Winter , Road              , Relaxation       ,2
Hampi           ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,2
Orchha          ,35000, Friends          ,4, State , Winter , Road              , Relaxation       ,2
Kashmir         ,55000, Friends          ,6, State , Summer , Road               , Adventure        ,4
Munnar          ,35000, Friends        ,4, State , Summer , Road              , Relaxation       ,3
Tirthan Valley  ,40000, Friends          ,4, State , Summer , Road               , Adventure         ,3
Ranakpur       ,45000, Family           ,3, State , Any    , Road               , Cultural         ,5
Ooty            ,45000, Friends          ,5, State , Monsoon, Road              , Relaxation       ,3
Madurai             ,50000,Family       ,4, State   ,Any  ,Train ,Religious            ,3
Pondicherry     ,45000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Bikaner         ,55000, Friends          ,5, State , Winter , Road              , Adventure        ,4
Rajasthan       ,50000, Family           ,6, State , Any    , Road              , Cultural         ,2
Pench NP         ,35000, Friends         ,4, State , Winter , Road             , Cultural         ,3
Ooty               ,150000, Friends         ,7, State        ,Any      ,Train           , Adventure       ,4
Alleppey        ,40000, Friends          ,4, State , Winter , Road              , Relaxation       ,5
Bangalore       ,30000, Friends          ,3, City  , Any    , Train             , Enjoy            ,3
Bangalore       ,25000, Family           ,3, City  , Any    , Train             , Informational    ,5
Thanjavur           ,50000, Family       ,4, State   ,Winter, Train               ,Cultural          ,2
Alleppey        ,40000, Friends          ,4, State , Winter , Road              , Relaxation       ,5
Tawang          ,30000, Friends          ,6, State , Summer , Road              , Adventure        ,3
Puri             ,35000,Family       ,4, State   ,Monsoon ,Train , Adventure       ,3
Tawang          ,35000, Family           ,5, State , Summer , Road               , Adventure        ,3
Kodaikanal      ,35000, Friends          ,4, State , Any    , Air               , Enjoy            ,3
Pushkar          ,40000, Family         ,3, State , Any    , Road               , Cultural         ,3
Binsar          ,40000, Friends          ,4, State , Winter , Road             , Adventure        ,3
Thanjavur           ,55000,Friends      ,5, State   ,Any         ,Road              ,Relaxation             ,3
Kaziranga       ,45000, Family           ,5, State , Winter , Road              , Adventure        ,4
Coorg           ,35000, Friends         ,3, State , Any    , Road              , Enjoy            ,4
Tirthan Valley  ,50000, Friends          ,4, State , Summer , Road               , Adventure        ,5
Kanyakumari      ,50000,Friends      ,4, State       ,Any         ,Train,Cultural               ,3
Rajasthan       ,50000, Family           ,8, State , Monsoon, Road               , Adventure        ,3
Dwarka           ,55000,Friends      ,4, State      ,Any      ,Train          , Relaxation       ,5
Mcleodganj      ,45000, Friends          ,5, State , Any    , Road               , Adventure        ,4
Tawang           ,55000, Friends         ,5, State , Any   , Road             , Adventure       ,3
Kanyakumari       ,50000,Family       ,5, State      ,Any        ,Road              ,Relaxation             ,5
Leh             ,20000, Friends          ,7, State , Summer , Road               , Adventure        ,4
Jaipur          ,35000, Family           ,4, City  , Any    , Train             , Enjoy            ,3
Kovalam         ,45000, Family           ,4, State , Winter , Train             , Relaxation       ,4
Ranakpur       ,45000,Family       ,3, State        ,Any       ,Train , Adventure       ,4
Panhala          ,50000, Family         ,5, State , Monsoon, Road                , Devotional       ,3
Tirthan Valley  ,35000, Friends          ,4, State , Summer , Road              , Adventure        ,5
Kanyakumari         ,60000,Family       ,4, State           ,Any         ,Train         ,Religious         ,5
Pondicherry     ,45000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Dwarka           ,45000, Family          ,4, State , Winter , Train              , Relaxation       ,3
Khajuraho       ,35000, Family           ,3, State , Any    , Road              , Enjoy            ,2
Madurai          ,35000, Friends         ,3, State  , Any , Train              , Cultural         ,4
Ooty               ,50000,Family       ,5, State   ,Any      ,Train                ,Relaxation        ,4
Wayanad         ,35000, Friends          ,5, State , Monsoon, Road              , Adventure        ,3
Pench NP         ,55000,Friends      ,4, State   , Any ,Train     , Adventure       ,3
Bikaner         ,40000, Friends          ,5, State , Winter , Road              , Adventure        ,4
Khajjiar         ,50000, Family          ,4, State, Monsoon, Road             , Relaxation       ,2
Kanyakumari       ,55000,Family       ,4, State      ,Any      ,Train           ,Religious           ,5
Kedarnath       ,35000, Friends          ,5, State , Any    , Road               , Enjoy            ,3
Munnar             ,55000, Family           ,5, State , Monsoon, Road               , Adventure        ,3
Madurai             ,50000,Family       ,4, State    ,Any      ,Train          ,Relaxation             ,2
Dalhousie        ,55000,Family       ,5, State   ,Any     ,Road             ,Cultural               ,4
Amritsar        ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,4
Wayanad         ,35000, Family           ,5, State , Monsoon, Road              , Adventure        ,3
Cherrapunjee   ,40000, Friends          ,5, State , Monsoon, Road             , Adventure        ,3
Madurai            ,45000,Friends      ,3, State             ,Monsoon ,Train  ,Relaxation          ,4
Hogenakkal       ,35000, Friends         ,4,State , Any   , Train              , Cultural       ,3
Madurai           ,45000,Family       ,3, State   ,Any        ,Train   ,Cultural             ,2
Bundi            ,40000, Friends         ,3, State      ,Any        , Road               ,  Cultural         ,4
Manali          ,50000, Family           ,5, State , Monsoon, Helicopter        , Adventure        ,3
Rameswaram      ,30000, Family           ,3, State , Any    , Road               , Cultural         ,4
Binsar          ,45000, Friends          ,4, State , Summer , Road              , Adventure        ,3
Kanchipuram      ,40000,Friends      ,4, State      ,Any     ,Train,Relaxation           ,3
Kashmir         ,50000, Friends          ,7, State , Summer , Road              , Adventure        ,4
Jaipur          ,45000, Family           ,4, City  , Any    , Road               , Relaxation       ,5
Jog Falls        ,60000, Family         ,6,State , Winter, Air               , Religious      ,3
Pench NP         ,40000, Friends          ,4, State , Summer , Road              , Adventure        ,5
Kodaikanal         ,55000,Family       ,4, State      ,Any         ,Train         ,Religious         ,5
Amritsar        ,40000, Family           ,4, State , Winter , Train              , Cultural         ,3
Pondicherry     ,35000, Family           ,3, State , Any    , Road               , Devotional       ,4
Munnar            ,35000, Friends        ,3, State , Winter, Road               ,  Cultural         ,4
Pune            ,30000, Family           ,3, City  , Any    , Road              , Informational    ,2
Mahabalipuram     ,40000, Friends       ,5, State , Summer , Road              , Adventure       ,4
Ladakh          ,65000,Family           ,8, State , Monsoon, Air               , Cultural        ,5
Maheshwar        ,65000, Friends       ,2, State , Summer , Road              , Cultural        ,3
Varanasi        ,50000, Family           ,2, State , Any    , Air               , Devotional       ,3
Tawang           ,35000, Friends         ,3, State        , Winter, Road              , Adventure       ,4
Kodaikanal      ,40000, Friends          ,4, State , Any    , Road               , Enjoy            ,3
Thanjavur          ,50000,Family       ,5, State        ,Any      ,Train          ,Cultural             ,3
Bharatpur        ,35000, Friends      ,3, State  , Winter,Road       ,  Cultural         ,4
Rameshwaram         ,45000,Friends      ,4, State             ,Any        ,Train ,Religious         ,5
Kovalam         ,40000, Friends          ,4, State , Winter , Air               , Relaxation       ,4
Kanchipuram        ,35000, Family           ,4, State , Winter , Train             , Relaxation       ,5
Hyderabad       ,35000, Family           ,3, State , Any    , Helicopter        , Informational    ,3
Coonoor           ,55000,Family       ,3, State     ,Any        ,Train,Cultural               ,4
Kanyakumari     ,45000, Family           ,4, State , Winter , Train             , Relaxation       ,4
Bhimbetka        ,35000, Family         ,3, State , Any , Road               , Cultural        ,4
Pondicherry     ,30000, Friends          ,3, State , Any    , Road              , Relaxation       ,4
Nagarhole       ,30000, Friends          ,5, State , Any    , Road              , Enjoy            ,4
Bikaner         ,40000, Friends          ,5, State , Monsoon, Road               , Adventure        ,4
Coonoor          ,45000,Family       ,3, State        ,Any        , Road                ,Cultural             ,2
Cherrapunjee   ,55000, Friends          ,5, State , Monsoon, Road               , Adventure        ,4
Ooty               ,55000, Family        ,5, State , Winter, Road               , Adventure        ,4
Mahabalipuram      ,45000,Family       ,5, State   ,Any          ,Train  , Relaxation        ,4
Rishikesh       ,40000, Family           ,5, State , Monsoon, Road               , Cultural         ,3
Munnar          ,40000, Family           ,5, State , Monsoon, Road              , Adventure        ,3
Goa             ,50000, Friends          ,5, State , Summer , Road              , Adventure        ,4
Kanchipuram        ,40000, Friends        ,4, State    , Any , Road              , Adventure       ,5
Andaman         ,55000, Family           ,5, State , Monsoon, Road               , Adventure        ,5
Jog Falls        ,45000, Family          ,4, State           , Any , Road               , Adventure       ,5
Pondicherry     ,30000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Alleppey        ,45000, Friends          ,4, State , Winter , Road              , Relaxation       ,3
Mysuru          ,45000, Friends          ,3, State , Any    , Road               , Informational    ,3
Darjeeling      ,45000, Friends          ,6, State , Monsoon, Road              , Adventure        ,4
Ooty               ,50000, Friends         ,6, State            ,Any          , Helicopter        ,Cultural          ,3
Chikmagalur      ,35000, Friends        ,3, State , Any   , Road               , Cultural        ,3
Aurangabad      ,50000, Friends          ,4, State , Winter , Road             , Adventure        ,3
Puducherry      ,45000, Family           ,4, State , Winter , Air                , Relaxation       ,3
Shravanabelagola ,40000, Family           ,4, State , Summer , Road              , Relaxation       ,2
Darjeeling      ,45000, Friends          ,5, State , Summer , Road               , Adventure        ,4
Udaipur         ,50000, Family           ,4, State , Winter , Road               , Cultural         ,3
Darjeeling      ,45000, Friends          ,5, State , Monsoon, Road              , Adventure        ,4
Agra            ,30000, Friends          ,3, State , Any    , Road              , Devotional       ,5
Cherrapunjee   ,40000, Family           ,6, State , Summer , Road              , Adventure        ,4
Shirdi          ,60000, Friends          ,3, State , Any    , Air               , Relaxation       ,5
Rameshwaram     ,35000, Family          ,4,State , Any , Train             , Relaxation       ,4
Maheshwar        ,30000, Family         ,3, State , Summer , Road              , Informational    ,3
Matheran         ,45000, Friends         ,4, State    , Summer ,Train            , Cultural          ,2
Agra            ,30000, Family           ,3, State , Any    , Train             , Devotional       ,5
Ooty            ,40000, Friends         ,3, State   , Any , Air               , Adventure       ,4
Kovalam         ,50000, Family           ,4, State , Winter , Road               , Relaxation       ,2
Mumbai          ,35000, Family           ,4, City  , Any    , Train             , Enjoy            ,3
Alleppey        ,50000, Family           ,4, State , Winter , Train              , Relaxation       ,5
Aurangabad      ,40000, Friends          ,4, State , Summer , Road              , Adventure        ,5
Shillong        ,40000, Friends          ,6, State , Monsoon, Train             , Adventure        ,5
Aurangabad      ,50000, Friends          ,4, State , Winter , Road              , Adventure        ,3
Kerala          ,50000, Family           ,6, State , Winter , Road               , Adventure        ,4
Kanyakumari         ,45000,Family       ,4, State    , Any , Road             , Adventure       ,2
Gokarna         ,35000, Family           ,4, State , Any    , Road              , Enjoy            ,3
Nagarhole       ,35000, Family           ,3, State , Monsoon, Train             , Devotional       ,4
Munnar           ,40000, Family         ,3, State , Any   , Road             ,Cultural         ,3
Thanjavur          ,45000,Family       ,5, State   ,Any      ,Road   ,Cultural          ,3
Cherrapunjee   ,70000, Friends          ,5, State , Summer , Road              , Adventure        ,4
Jaisalmer       ,50000, Friends          ,6, State , Winter , Road              , Adventure        ,4
Hyderabad       ,30000, Family           ,3, City  , Any    , Train             , Devotional       ,5
Ooty               ,70000, Family       ,10, State    ,Monsoon, Road              , Adventure      ,2
Dwarka           ,35000, Family           ,4, City  , Winter , Train             , Cultural         ,3
Jaisalmer       ,55000, Friends          ,6, State , Winter , Road               , Adventure        ,4
Binsar          ,50000, Friends          ,4, State , Summer , Road               , Adventure        ,2
Coonoor            ,60000,Family       ,3, State          ,Winter    ,Train,Cultural                ,2
Kerala          ,35000, Family           ,4, State , Winter , Road               , Enjoy            ,2
Binsar          ,55000, Friends          ,4, State , Winter , Road               , Relaxation       ,2
Thanjavur          ,45000,Family         ,5,State , Any   ,Train, Adventure       ,4
Tiruchirapalli     ,40000,Friends      ,3, State           ,Any      , Road                ,Cultural                ,2
Pench NP         ,40000, Family           ,4, State , Winter , Road             , Relaxation       ,3
Ooty               ,70000,Family       ,7,State    ,Any         ,Train           ,Cultural            ,4
Coonoor          ,60000,Family       ,3, State        ,Any   ,Train                ,Cultural                ,2
Tiruchirapalli     ,45000,Friends      ,3, State      ,Any        ,Train   ,Relaxation        ,2
Badami          ,30000, Friends          ,3, State , Any    , Road              , Adventure        ,3
Rameshwaram       ,45000,Friends      ,4, State     ,Any      ,Road   ,Relaxation           ,3
Mahabalipuram    ,45000,Friends      ,5, State   ,Winter    , Road                ,Relaxation            ,3
Thanjavur         ,70000,Friends          ,7, State , Any   , Road              , Adventure       ,4
Pune            ,30000, Family           ,3, City  , Any    , Road              , Cultural         ,2
Mahabalipuram      ,90000,Friends      ,3, State   ,Any    ,Train ,Religious         ,4
Thanjavur         ,70000, Friends         ,4, State   ,Winter    ,Road             ,Relaxation         ,3
Rameshwaram       ,50000,Friends      ,4, State       ,Any   ,Train          ,Cultural               ,2
Alleppey        ,40000, Friends          ,4, State , Winter , Road              , Relaxation       ,5
Kodaikanal         ,50000,Friends      ,4, State    ,Any         ,Train    ,Religious         ,5
Puri            ,35000, Family           ,4, State , Any    , Train             , Enjoy            ,3
Agra            ,35000, Family           ,3, City  , Any    , Air               , Informational    ,5
Mount Abu       ,45000, Family           ,4, State , Winter , Road              , Cultural         ,2
Cherrapunjee   ,45000, Friends          ,6, State , Monsoon, Road              , Adventure        ,4
Mahabalipuram    ,50000,Friends      ,4, State   ,Any          , Train           ,Religious               ,3
Andaman         ,35000, Family           ,5, State , Monsoon, Road              , Devotional       ,5
Panhala          ,35000, Friends         ,3,State ,Any     , Road                , Cultural          ,2
Leh             ,45000, Friends          ,6, State , Summer , Road              , Adventure        ,4
Kasol            ,35000, Friends         ,3, State , Any   , Road                , Cultural        ,2
Cherrapunjee    ,50000, Family           ,5, State , Winter , Air                , Devotional       ,3
Rameshwaram       ,55000,Friends      ,3, State       ,Any        ,Road ,Relaxation            ,5
Tiruchirapalli     ,50000,Friends      ,3, State             ,Any     , Train             ,Cultural               ,2
Hyderabad       ,35000, Family           ,3, City  , Any    , Train             , Informational    ,5
Matheran         ,45000, Friends      ,4, State    , Summer , Road              , Cultural          ,3
Saputara         ,50000, Friends           ,4, State , Summer , Road               , Relaxation       ,2
Mumbai          ,35000, Friends          ,4, State , Any    , Train             , Enjoy            ,3
Puri             ,45000, Family         ,4, State , Any    , Road               , Relaxation       ,3
Kodaikanal      ,45000, Friends          ,4, State , Any    , Road               , Enjoy            ,2
Tiruchirapalli   ,35000, Family           ,3, State , Any    , Road              ,Cultural         ,3
Saputara         ,55000,Family       ,4, State         ,Winter   ,Train               ,Religious         ,4
Madurai          ,45000, Family          ,3, State, Any    , Road              ,  Adventure       ,2
Thanjavur         ,40000, Friends       ,4, State    , Any   , Road              , Adventure      ,3
Hyderabad       ,45000, Family           ,4, City  , Any    , Road               , Cultural         ,2
Yercaud          ,40000, Family        ,4, State , Winter , Road             , Relaxation       ,3
Pushkar          ,35000, Family        ,3, State    , Any , Road              , Cultural         ,4
Tiruchirapalli   ,45000,Family       ,3, State            ,Any     ,Train,Relaxation             ,2
Badami          ,30000, Friends          ,3, State , Any    , Road              , Enjoy            ,2
Nagarhole       ,50000, Friends          ,5, State , Summer , Road              , Adventure        ,4
Kanha NP         ,35000, Friends          ,4, State , Winter , Road              , Relaxation       ,3
Mahabalipuram   ,55000, Family           ,4, State , Winter , Road               , Cultural         ,2
Manali          ,45000, Friends          ,5, State , Monsoon, Road              , Adventure        ,3
Vrindavan        ,35000, Friends        ,3, State , Monsoon , Train             , Devotional       ,4
Satpura NP       ,50000, Friends         ,5, State        ,Any       ,Road          ,Relaxation          ,2
Kovalam         ,50000, Family           ,4, State , Winter , Air                , Relaxation       ,4
Udaipur         ,40000, Friends          ,4, State , Winter , Road              , Relaxation       ,2
Ziro Valley      ,55000,Family       ,5, State   ,Any        , Road                ,Relaxation          ,4
Darjeeling      ,45000, Friends          ,5, State , Winter , Train              , Adventure        ,4
Kanchipuram        ,40000, Family        ,4, State   ,Any      , Train              ,Relaxation           ,3
Munnar            ,40000, Friends          ,4, State , Monsoon, Train              , Cultural         ,3
Wayanad         ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Pondicherry     ,45000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Kodaikanal      ,35000, Friends          ,4, State , Any    , Road               , Enjoy            ,3
Bikaner         ,40000, Friends          ,5, State , Monsoon, Road               , Adventure        ,4
Jaisalmer       ,80000, Friends          ,6, State , Winter , Road              , Adventure        ,4
Rameshwaram     ,45000, Family       ,4, State        , Any , Train          , Adventure       ,5
Coonoor            ,40000, Family          ,3, State , Monsoon , Road                , Cultural       ,3
Coorg           ,55000, Friends          ,5, State , Summer , Road               , Adventure        ,4
Kedarnath       ,45000, Friends          ,5, State , Summer , Helicopter        , Devotional       ,3
Rameshwaram       ,45000,Family       ,4, State     ,Any      ,Train          ,Relaxation          ,5
Rameshwaram         ,55000,Family       ,4, State           ,Any      ,Train          ,Cultural               ,2
Leh             ,55000, Friends          ,6, State , Summer , Road               , Adventure        ,4
Kanchipuram         ,50000,Family       ,4, State      ,Any         ,Train,Religious         ,5
Satpura NP       ,40000, Family           ,3, State , Any    , Road              , Enjoy            ,2
Darjeeling      ,50000, Friends          ,5, State , Any    , Road               , Adventure        ,4
Nagarhole       ,25000, Family           ,6, State , Monsoon, Train             , Informational    ,4
Kodaikanal         ,50000,Family       ,4, State      ,Winter    ,Train               ,Cultural            ,5
Kanyakumari        ,55000,Family       ,4, State   ,Winter     ,Train         ,Relaxation              ,3
Kerala          ,80000, Friends          ,7, State , Winter , Road              , Adventure        ,3
Tiruchirapalli   ,35000, Family          ,3, State , Any  , Road                , Cultural        ,2
Gangtok         ,60000, Family           ,6, State , Monsoon, Road              , Adventure        ,5
Bhimbetka        ,35000, Family          ,3, State , Any   , Road                , Cultural        ,3
Yercaud          ,55000,Family       ,4, State   , Any , Road             , Adventure       ,2
Haridwar        ,40000, Family           ,4, State , Any    , Road               , Adventure         ,2
Mahabalipuram      ,40000,Friends      ,5, State    ,Winter, Road                ,Cultural             ,3
Mahabalipuram      ,65000, Friends        ,5, State , Any   , Road                , Cultural        ,3
Shillong        ,50000, Friends          ,6, State , Monsoon, Road             , Adventure        ,5
Dwarka           ,45000, Family           ,4, City  , Winter , Road               , Cultural         ,2
Kodaikanal       ,45000,Family       ,4, State   , Any ,  Road           , Relaxation       ,2
Shirdi          ,45000, Family           ,3, State , Any    , Road               , Enjoy            ,2
Kabini          ,70000, Family           ,6, State , Summer , Road              , Cultural         ,4
Guwahati        ,35000, Family           ,4, State , Winter , Train             , Cultural         ,3
Amritsar        ,55000, Family           ,4, State , Winter , Air               , Relaxation       ,2
Bharatpur        ,35000, Friends       ,3, State   ,Any     ,Road             ,Cultural         ,3
Wayanad         ,45000, Family           ,5, State , Monsoon, Road               , Adventure        ,3
Madurai            ,40000,Family       ,3, State   , Any ,Road             , Cultural          ,4
Shillong        ,55000, Friends          ,6, State , Monsoon, Road               , Adventure        ,5
Aurangabad      ,50000, Family           ,6, State , Winter , Road               , Adventure        ,3
Munnar            ,40000, Family           ,3, State , Any    , Road              , Cultural         ,4
Mcleodganj      ,55000, Friends          ,5, State , Summer , Road               , Adventure        ,4
Kasol            ,35000, Friends       ,3, State , Any   , Train              , Religious      ,4
Mahabalipuram     ,50000, Family           ,6, State , Winter , Road               , Adventure        ,4
Kovalam         ,45000, Family           ,4, State , Winter , Air                , Relaxation       ,4
Panhala          ,35000, Friends        ,3, State  , Any    , Helicopter        ,  Cultural         ,3
Mcleodganj      ,45000, Friends          ,5, State , Monsoon, Road              , Adventure        ,4
Tiruchirapalli   ,35000, Family           ,3, State , Any    , Train             , Devotional       ,4
Rann of Kutch   ,40000, Family           ,3, State , Any    , Road               , Relaxation       ,3
Hogenakkal       ,35000, Family        ,4, State , Summer, Train           ,Religious           ,5
Mahabalipuram     ,50000,Family       ,5, State    , Any , Road              , Adventure       ,4
Guwahati        ,35000, Family           ,4, State , Winter , Train              , Cultural         ,3
Kovalam         ,45000, Friends          ,4, State , Winter , Train             , Relaxation       ,4
Matheran         ,50000, Family           ,6, State , Any    , Road               , Adventure        ,5
Saputara         ,50000,Friends      ,4, State     ,Any         ,Train           ,Cultural                ,3
Kodaikanal        ,55000,Friends      ,4, State          ,Any          ,Train,Cultural            ,5
Gwalior          ,40000, Friends          ,5, State , Monsoon, Air                , Adventure        ,5
Kedarnath       ,40000, Friends          ,5, State , Summer ,Road              , Devotional       ,3
Rameshwaram     ,35000, Friends         ,3, State,Any          , Road             , Cultural       ,3
Goa             ,40000, Family           ,5, State , Any    , Road              , Devotional       ,3
Varanasi        ,35000, Family           ,3, State , Any    , Road              , Enjoy            ,2
Badami          ,25000, Friends          ,3, State , Any    , Road              , Enjoy            ,5
Leh             ,45000, Friends          ,6, State , Monsoon, Road             , Adventure        ,4
Kanyakumari     ,45000, Family           ,4, State , Winter , Air                , Relaxation       ,5
Kovalam         ,55000, Friends          ,4, State , Winter , Train           , Relaxation       ,4
Mahabaleshwar   ,40000, Family           ,4, State , Winter , Road              , Adventure        ,2
Kashmir         ,40000, Friends          ,6, State , Any    , Road              , Adventure        ,4
Udaipur         ,40000, Family           ,4, State , Winter , Road              , Enjoy            ,3
Kanyakumari     ,40000, Friends          ,4, State , Winter , Air                , Relaxation       ,4
Mcleodganj      ,55000, Friends          ,5, State , Any    , Road               , Adventure        ,4
Haridwar        ,20000, Family           ,3, State , Any    , Road              , Relaxation       ,4
Kovalam         ,45000, Family           ,4, State , Monsoon, Air               , Relaxation       ,3
Kanchipuram        ,45000, Friends        ,4, State    , Winter , Train             , Relaxation       ,4
Pondicherry     ,35000, Family           ,3, City  , Any    , Road               , Devotional       ,4
Panhala          ,35000, Friends         ,3, State, Any   , Train           ,Relaxation            ,4
Pench NP         ,55000, Friends        ,4, State , Monsoon, Road             , Relaxation      ,3
Haridwar        ,30000, Family           ,3, State , Any    , Road              , Devotional       ,5
Guwahati        ,45000, Family           ,4, State , Winter , Air                , Relaxation       ,3
Gwalior          ,35000, Family          ,3, State , Any   ,Train            , Adventure      ,2
Shillong        ,50000, Family           ,6, State , Monsoon, Air               , Adventure        ,5
Kashmir         ,150000, Friends          ,5, State , Summer , Road               , Adventure        ,4
Shirdi          ,35000, Family           ,3, State , Any    , Road              , Enjoy            ,5
Jog Falls        ,40000, Family           ,4, State , Summer , Road              , Cultural         ,2
